date,open_price,highest_price,lowest_price,close_price,volume,symbol,is_quarter,is_annual
2018-11-23,106.74,107.39,106.06,106.65,6488406,JPM,False,False
2018-11-21,109.03,109.61,107.64,107.64,10619625,JPM,False,False
2018-11-20,109.78,110.49,107.98,108.45,18936153,JPM,False,False
2018-11-19,109.96,111.2,109.53,110.83,13986991,JPM,False,False
2018-11-16,109.45,110.76,108.55,109.99,13798551,JPM,False,False
2018-11-15,108.24,110.08,106.81,110.07,19099954,JPM,False,False
2018-11-14,110.23,110.71,105.98,107.33,18361433,JPM,False,False
2018-11-13,109.1,111.12,109.1,109.59,13746059,JPM,False,False
2018-11-12,111.42,111.94,108.6,108.95,13279671,JPM,False,False
2018-11-09,112.23,112.36,110.83,111.29,10432161,JPM,False,False
2018-11-08,111.01,112.93,111.0,112.38,11662499,JPM,False,False
2018-11-07,110.37,111.73,109.35,111.48,12679585,JPM,False,False
2018-11-06,108.67,109.67,107.76,109.6,10824959,JPM,False,False
2018-11-05,108.61,109.29,108.42,109.09,10276448,JPM,False,False
2018-11-02,109.9,110.81,107.49,108.38,19009518,JPM,False,False
2018-11-01,109.62,110.22,108.32,108.98,13065023,JPM,False,False
2018-10-31,108.08,110.48,107.79,109.02,20859992,JPM,False,False
2018-10-30,105.71,106.98,104.86,106.7,18019681,JPM,False,False
2018-10-29,104.46,106.63,103.7,104.85,18445175,JPM,False,False
2018-10-26,104.0,104.56,102.73,103.42,19174916,JPM,False,False
2018-10-25,104.18,105.9,103.72,104.86,17464708,JPM,False,False
2018-10-24,104.76,105.03,102.91,103.29,23168916,JPM,False,False
2018-10-23,104.2,106.16,103.7,105.25,21407548,JPM,False,False
